date,oil_price
2017-01-20,49.7449
2017-01-19,49.0515
2017-01-18,49.1436
2017-01-17,49.8708
2017-01-16,49.5302
2017-01-15,49.3492
2017-01-14,49.3708
2017-01-13,49.3708
2017-01-12,49.9498
2017-01-11,49.3013
2017-01-10,48.2432
2017-01-09,49.0645
2017-01-08,51.0776
2017-01-07,50.9833
2017-01-06,50.9833
2017-01-05,50.6935
2017-01-04,50.8003
2017-01-03,50.515
2017-01-02,51.6589
2017-01-01,51.2219
2016-12-31,51.2219
2016-12-30,51.2219
2016-12-29,51.0547
2016-12-28,51.4812
2016-12-27,51.4717
2016-12-26,50.8709
2016-12-25,50.9318
2016-12-24,50.9178
2016-12-23,50.9178
2016-12-22,50.5238
